|                                   col0_1 |                                    col0_2 |         aperture_sum_3 |       aperture_sum_4 |       aperture_sum_5 |
|  2863.633235071686 .. 221.30429132723566 | 279.10407269663517 .. -23.933820557549897 |     1.0413827760005139 |                  inf |                  inf |
|  3003.050817347755 .. 227.33537649726148 |  279.10239398386653 .. -23.93375419836648 |     -3.659426415582252 |  -2.4432877830658595 |   1.2161386325163925 |
|   2868.832339850645 .. 239.9578356435702 |  279.10401009115355 .. -23.93361526592031 |     3.0977561768957935 |                  inf |                  inf |
|  2851.922842965563 .. 242.69175291985576 | 279.10421369572566 .. -23.933585174522463 |     3.3689841458465324 |                  inf |                  inf |
| 2837.6054223967444 .. 253.19964228321786 |  279.1043860875963 .. -23.933469526535458 |     -2.264315593740411 |                  inf |                  inf |
| 2848.2042962609735 .. 253.01890079116805 |   279.1042584680574 .. -23.93347151782952 |     2.7870728513793996 |                  inf |                  inf |
|    2871.96783263924 .. 253.2155567387455 |   279.103972334553 .. -23.933469357923784 |     3.0108335960801904 |                  inf |                  inf |
| 2895.1333594132434 .. 255.09996999782516 |  279.1036934013281 .. -23.933448622695355 |     0.3020866110314098 |                  inf |                  inf |
| 2917.9716556457283 .. 255.17218050806764 |   279.1034184085884 .. -23.93344783121333 |    -2.7393894626700774 |   -3.939256710557078 |  -1.1998672478870005 |
|  2971.1494546867107 .. 257.6884743888818 |  279.1027781019318 .. -23.933420143643662 |      2.740828383525844 |  -1.9836467122151076 |   -4.724475095740951 |
|   2880.049728061911 .. 266.9729078954539 |  279.1038750190625 .. -23.933317952047684 |   0.005146704339994147 |                  inf |                  inf |
|  2995.0414154512646 .. 268.0637634964679 |   279.102490421574 .. -23.933305959521014 |     1.6622272267587104 |   -5.242621070750698 |  -6.9048482975094085 |
| 2828.2097357539583 .. 272.22725254884415 |  279.10449921528954 .. -23.93326011518911 |     2.5831870874173206 |                  inf |                  inf |
|   2859.002013219943 .. 278.3829946815621 |  279.10412844907336 .. -23.93319237402446 |   0.008362585016256315 |                  inf |                  inf |
|   2999.1824653021386 .. 289.041391928121 |   279.1024405585729 .. -23.93307508936067 |     1.7648353060415674 |  -5.2411328783407996 |  -7.0059681843823665 |
| 2807.5301482049804 .. 290.78433527739435 | 279.10474821019017 .. -23.933055879588064 |     3.2756418813352397 |                  inf |                  inf |
| 2916.4317157592295 .. 292.19559672340563 |    279.1034369454341 .. -23.9330403678533 |    -1.6375725477160596 |    -6.62082085619022 |   -4.983248308474161 |
| 2793.9982288008086 .. 294.03372620969924 |   279.104911144765 .. -23.933020114985315 |                    nan |                  inf |                  nan |
|  3098.2869047988333 .. 303.3777815153343 |   279.1012472599309 .. -23.93291731028416 |    -2.1923865878681528 |   -7.093446269081291 |  -4.9010596812131375 |
| 2843.9040613101465 .. 312.83205223527835 |  279.10431023349497 .. -23.93281324018671 |     0.2816800211685419 |                  inf |                  inf |
|  2900.430539165699 .. 313.20956749857027 |  279.1036296093699 .. -23.932809095251734 |     0.3071957801605088 |   -5.701943773497539 |   -6.009139553658048 |
|   2882.809766953568 .. 316.4144130121426 |  279.1038417769987 .. -23.932773821412944 |     -3.385406366391128 |   -9.557120277735741 |   -6.171713911344614 |
| 2819.6501073939744 .. 318.04839335405495 |  279.1046022692524 .. -23.932755826332805 |      1.307452699279772 |                  inf |                  inf |
|   3115.390974862347 .. 319.0568267985964 | 279.10104131399356 .. -23.932744752932265 |    -0.6432057712996422 |   -6.125661021989439 |   -5.482455250689797 |
|  2908.0660649773727 .. 323.1187540534801 |   279.1035376700087 .. -23.93270004027406 |    -0.9970272100248018 |  -6.2145003150470455 |   -5.217473105022243 |
|   2953.9525553007093 .. 323.226107061616 | 279.10298516038773 .. -23.932698864240542 |    -2.0483667821907785 |  -6.8931415569398595 |   -4.844774774749081 |
|   2950.848725774486 .. 336.0196299684658 |    279.103022531549 .. -23.93255806414265 |     0.4545984050369547 |   -6.017497857777698 |   -6.472096262814653 |
|   3091.399143331915 .. 339.1609609207689 |   279.1013301954058 .. -23.93252349685575 |    -2.9735664475810326 |   -8.747898403197253 |    -5.77433195561622 |
|  2767.925724805196 .. 342.41094293136683 |  279.1052250647331 .. -23.932487690209637 |    0.13153375596086161 |                  inf |                  inf |
|  3010.3418426518324 .. 343.8810718475898 |  279.1023061878083 .. -23.932471548921406 |    0.18729444311844187 |   -5.981381968568332 |   -6.168676411686774 |
|  2980.8746149942776 .. 347.9085916469719 |   279.1026609955751 .. -23.93242722212837 |    -1.3441578738693896 |   -6.421602305118165 |   -5.077444431248776 |
| 3008.3885959045274 .. 354.11506004586766 | 279.10232970588606 .. -23.932358918135275 |     -2.258654990136207 |  -7.0702156259254165 |    -4.81156063578921 |
| 2969.9335460925013 .. 355.44249350331705 | 279.10279273373743 .. -23.932344306530595 |    -1.0581258926144141 |   -6.314361769870912 |   -5.256235877256498 |
|  3092.0592431867863 .. 358.9633650264178 | 279.10132224799435 .. -23.932305560429697 |     -4.360711403857593 |  -10.884793353292498 |   -6.524081949434905 |
|   2749.277310865013 .. 363.9087533054094 |  279.1054495992124 .. -23.932251089692194 |    -0.3475515946317975 |                  inf |                  inf |
|  2982.9143818447824 .. 364.1512479124825 | 279.10263643397985 .. -23.932248462860947 |    -3.4240472374984754 |     -8.2530172191441 |   -4.828969981645624 |
|  3014.7157109803807 .. 363.6720398392538 |  279.10225352220175 .. -23.93225373856166 |    -2.7628675233578504 |   -7.501315201898996 |   -4.738447678541146 |
|  3078.6547460773863 .. 365.3518176474904 | 279.10148364837977 .. -23.932235252326926 |    0.07683318625403213 |   -6.115396949756883 |   -6.192230136010916 |
|    2810.36929046739 .. 366.1731103571058 | 279.10471400547755 .. -23.932226185106586 |    -2.3465040754364876 |    -4.17325976478231 |  -1.8267556893458226 |
|  2843.6072823723757 .. 369.9958575136346 | 279.10431379441513 .. -23.932184120848962 |     1.8360194556313816 |   -5.199080046287962 |   -7.035099501919344 |
|  2995.742920728908 .. 371.23389861958873 |  279.1024819683239 .. -23.932170515194528 |     0.4170698734510631 |   -5.674822954019508 |   -6.091892827470571 |
|  3076.3051187406386 .. 373.8102439849498 | 279.10151193981125 .. -23.932142162712566 |    -0.5625404903432154 |   -6.188969289619678 |  -5.6264287992764626 |
|  2756.588801620313 .. 377.27045956773185 | 279.10536155926894 .. -23.932104038816714 |     2.2164454826201276 |                  inf |                  inf |
|   3155.698887576647 .. 377.1067402406004 |  279.10055598054385 .. -23.93210587859095 |     -2.627080234366285 |   -2.756276777232054 |  -0.1291965428657691 |
| 2903.1973644597915 .. 380.03443151526136 | 279.10359628400664 .. -23.932073651084295 |     -2.563547506803363 |   -7.345505567908514 |   -4.781958061105151 |
|    2932.211918298472 .. 384.304582884858 | 279.10324692699163 .. -23.932026659512896 |   -0.08831359115190998 |   -5.869317492115551 |   -5.781003900963641 |
|  2968.351991429879 .. 384.30693916280796 |  279.1028117742149 .. -23.932026637216165 |    -2.1645201707411608 |  -7.0185718876934855 |   -4.854051716952325 |
|  3148.333567327864 .. 386.32599260410996 | 279.10064466527166 .. -23.932004416274363 |    -1.9732509042235205 |   -6.882495766025665 |  -4.9092448618021445 |
| 2855.2418445266335 .. 386.99759113268794 |  279.10417370212525 .. -23.93199700964151 |     1.9504852846156417 |   -5.087133054520736 |   -7.037618339136378 |
|    3036.23533852027 .. 388.8103774978468 |   279.1019944092248 .. -23.93197707790321 |     0.9650798452119624 |   -5.518965089751823 |   -6.484044934963785 |
|  2836.656787396526 .. 390.21371186872807 |   279.104397478956 .. -23.931961610765846 |    -1.8658244455868318 |   -6.875070140386306 |   -5.009245694799475 |
|  3065.9315640440063 .. 390.0887658899796 |  279.1016368452102 .. -23.931963008710845 |     1.7797257434740703 |   -5.179635150436626 |   -6.959360893910697 |
|  2758.3164285271264 .. 391.3748893557669 | 279.10534075304514 .. -23.931948812254884 |    -2.7095195576506304 |                  inf |                  inf |
|   2813.7089635663388 .. 390.972094262759 |  279.1046737871229 .. -23.931953259346567 |     0.4486467750597276 |   -5.666146999414954 |   -6.114793774474681 |
| 3184.3443405308976 .. 390.81162539911656 | 279.10021107001836 .. -23.931955045728056 |     3.5095169782006455 |  -2.3666391359047925 |   -5.876156114105438 |
|   2793.685259079386 .. 392.0733930010122 |  279.1049148866592 .. -23.931941134177016 |    -3.1514016807084304 |   -8.165167793458366 |   -5.013766112749936 |
|     2919.8810354064 .. 393.1362006454221 | 279.10339539854766 .. -23.931929461155434 |    -3.0701441257628375 |  -7.7123988933834475 |    -4.64225476762061 |
|  2975.3851413727334 .. 396.0434404848513 |  279.1027270889841 .. -23.931897471094643 |     0.8929805039220217 |   -5.488802975353989 |   -6.381783479276011 |
